User,"Gender (1 =F, 0=M)",260: Star Wars: Episode IV - A New Hope (1977),1210: Star Wars: Episode VI - Return of the Jedi (1983),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)",3578: Gladiator (2000),1: Toy Story (1995),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),2916: Total Recall (1990),780: Independence Day (ID4) (1996),541: Blade Runner (1982),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",1198: Raiders of the Lost Ark (1981),34: Babe (1995),,
755,0,1,5,2,,4,4,2,2,,3,2,,5,2,,4,2,5,,,3.071428571,0.03554295
5277,0,5,3,,2,4,2,1,,,4,3,2,2,,2,,5,1,3,,2.785714286,
1577,1,,,,5,2,,4,,,1,,1,4,4,1,1,2,3,1,3,2.461538462,
4388,0,,3,,,,1,2,3,4,,,4,1,3,5,,5,1,1,2,2.692307692,
1202,1,4,3,4,1,4,1,,4,,1,5,1,,4,,3,5,5,,,3.214285714,
3823,1,2,4,4,4,,,3,1,4,4,5,2,4,,1,,,3,,2,3.071428571,
5448,0,,,3,1,1,4,,5,2,,1,,,3,,1,,,5,2,2.545454545,
5347,0,4,,,,3,2,2,,3,,,2,3,2,4,,1,3,5,,2.833333333,
4117,1,5,1,,4,2,4,4,4,,1,2,3,1,,5,,,,,5,3.153846154,
2765,0,4,2,,5,3,,4,3,4,,,,2,,,2,5,1,,,3.181818182,
5450,1,2,1,5,,,5,5,,,,,3,2,,,1,,2,1,4,2.818181818,
139,0,3,5,2,,2,,2,,1,,3,,3,,2,5,,,,2,2.727272727,
1940,0,2,3,,5,4,,4,5,,,,2,4,,3,,,,5,,3.7,
3118,1,3,,3,,2,,3,,,4,,1,2,2,3,5,1,,,,2.636363636,
4656,1,4,4,,,5,5,2,,3,5,,1,3,,2,,3,,3,1,3.153846154,
4796,1,,,1,,3,2,,2,,1,5,,,,5,2,2,4,3,4,2.833333333,
6037,0,,,,,4,,2,,2,,2,,,,,4,,,,,2.8,
3048,1,4,5,1,5,1,1,4,,5,,,,,4,,,2,1,2,5,3.076923077,
4790,0,5,1,,,,4,2,1,3,3,3,1,,,,2,,,,,2.5,
4489,0,1,2,2,4,5,,2,3,2,2,1,,,5,5,4,3,5,3,,3.0625,
,,3.266666667,3,2.7,3.6,3.0625,2.916666667,2.823529412,3,3,2.636363636,2.909090909,1.916666667,2.769230769,3.222222222,3.166666667,2.833333333,3,2.833333333,2.909090909,3,,
,,2,5,16,1,3,7,11,3,3,10,5,9,8,1,1,4,1,3,2,1,,
,,15,14,10,10,16,12,17,11,11,11,11,12,13,9,12,12,12,12,11,10,,
,,3,4,17,17,2,6,1,12,12,12,12,6,5,20,6,6,6,6,12,17,,
,,0.533333333,0.357142857,0.3,0.7,0.4375,0.5,0.352941176,0.363636364,0.363636364,0.363636364,0.272727273,0.083333333,0.307692308,0.444444444,0.416666667,0.416666667,0.333333333,0.333333333,0.272727273,0.4,,
,,2,12,17,1,5,3,13,9,9,9,18,20,16,4,6,6,14,14,18,8,,
,,0.823529412,0.764705882,0.411764706,0.470588235,0.764705882,0.529411765,1,0.470588235,0.588235294,0.529411765,0.470588235,0.647058824,0.764705882,0.411764706,0.647058824,0.529411765,0.588235294,0.588235294,0.529411765,0.470588235,,
,,2,3,19,15,3,11,1,15,8,11,15,6,3,19,6,11,8,8,11,15,,
,,-0.119004526,-0.314504441,0.522912517,0.888523317,-0.568257571,0.253396382,1,0.596849191,0.709842214,-0.610300103,0.10176803,0.163796423,-0.069923018,0.329634257,-0.062858169,-0.721994872,-0.220315223,-0.245769576,-0.309066964,0.811107106,,
,,13,17,6,2,18,8,1,5,4,19,10,9,12,7,11,20,14,15,16,3,,
,,0.303571429,0,0.75,0.4,-0.619047619,0.166666667,1.271428571,-0.392857143,1.375,-0.571428571,2.107142857,-0.485714286,-0.19047619,0.5,-0.666666667,-0.742857143,-1,0.333333333,-1.666666667,1.428571429,,
,,9,11,5,7,16,10,4,13,3,15,1,14,12,6,17,18,19,8,20,2,,
,,0.071428571,0.25,0.5,0.2,-0.26984127,0,0.371428571,0.214285714,0.416666667,0.178571429,0.75,-0.2,0.047619048,0.55,-0.166666667,-0.371428571,-0.333333333,0,-0.5,0.571428571,,
,,4,2,0,3,5,3,2,2,2,1,0,1,2,1,3,4,3,2,3,0,,
,,8,8,4,5,9,6,10,7,8,4,7,5,7,5,6,7,6,6,6,3,,
,,0.338582677,,,,,,,,,,,,,,,,,,,,,
,,4,3,3,4,2,3,4,2,2,3,3,0,2,3,2,1,1,2,0,4,,
,,7,6,6,5,7,6,7,4,3,7,4,7,6,4,6,5,6,6,5,7,,
,,0.421052632,,,,,,,,,,,,,,,,,,,,,
,,0.082469954,,,,,,,,,,,,,,,,,,,,,
